ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
9,"$80-90k",2015,"2015","true","true",128217,8617.355774770578,1275,"Washington","04000US53","washington",0.03915592006655013
9,"$80-90k",2015,"2015","true","true",4852634,53160.42134707343,47855,"United States","01000US","united-states",0.03383839464684615
14,"$130-140k",2015,"2015","true","true",32391,4396.714453490029,335,"Washington","04000US53","washington",0.009891819391154256
14,"$130-140k",2015,"2015","true","true",1025432,24772.5031768205,10524,"United States","01000US","united-states",0.007150543951904211
8,"$70-80k",2015,"2015","true","true",166445,9758.477631541717,1680,"Washington","04000US53","washington",0.050830288615994264
8,"$70-80k",2015,"2015","true","true",6316268,60328.68324213891,62783,"United States","01000US","united-states",0.044044609438759576
15,"$140-150k",2015,"2015","true","true",27819,4077.4894110507685,268,"Washington","04000US53","washington",0.008495585923328093
15,"$140-150k",2015,"2015","true","true",772097,21514.854550204567,7982,"United States","01000US","united-states",0.005383987952037176
7,"$60-70k",2015,"2015","true","true",228472,11318.42032312318,2291,"Washington","04000US53","washington",0.0697725837404154
7,"$60-70k",2015,"2015","true","true",8817232,70625.51953686457,87211,"United States","01000US","united-states",0.061484335333923924
16,"$150-160k",2015,"2015","true","true",30019,4234.215952288884,314,"Washington","04000US53","washington",0.009167439298047595
16,"$150-160k",2015,"2015","true","true",1079531,25412.740155166488,11176,"United States","01000US","united-states",0.007527787179396689
11,"$100-110k",2015,"2015","true","true",95824,7487.944012956289,986,"Washington","04000US53","washington",0.029263489899600675
6,"$50-60k",2015,"2015","true","true",11448206,79685.14343169265,112548,"United States","01000US","united-states",0.07983064715500736
17,"$160-170k",2015,"2015","true","true",16078,3105.4314426099586,154,"Washington","04000US53","washington",0.004910026617609154
17,"$160-170k",2015,"2015","true","true",491260,17178.502879313848,5092,"United States","01000US","united-states",0.003425654964748967
5,"$40-50k",2015,"2015","true","true",328080,13339.50283023472,3170,"Washington","04000US53","washington",0.10019166144453362
5,"$40-50k",2015,"2015","true","true",14797713,89438.16927538959,141829,"United States","01000US","united-states",0.10318743436343349
18,"$170-180k",2015,"2015","true","true",12339,2722.0427718191227,128,"Washington","04000US53","washington",0.0037681812684836023
18,"$170-180k",2015,"2015","true","true",412068,15737.449419047927,4236,"United States","01000US","united-states",0.002873433192228509
4,"$30-40k",2015,"2015","true","true",404711,14621.770846127472,3751,"Washington","04000US53","washington",0.12359384142550184
4,"$30-40k",2015,"2015","true","true",18742734,99100.72996511316,174251,"United States","01000US","united-states",0.1306968606849108
19,"$180-190k",2015,"2015","true","true",11469,2624.6756556273713,118,"Washington","04000US53","washington",0.0035024937975717996
19,"$180-190k",2015,"2015","true","true",389361,15298.91410260341,4044,"United States","01000US","united-states",0.002715092705959416
3,"$20-30k",2015,"2015","true","true",460703,15447.54336726197,4079,"Washington","04000US53","washington",0.14069312058790834
3,"$20-30k",2015,"2015","true","true",21308700,104573.7412335336,189804,"United States","01000US","united-states",0.1485898586234302
20,"$190-200k",2015,"2015","true","true",4539,1652.9268764764274,46,"Washington","04000US53","washington",0.0013861556672053708
20,"$190-200k",2015,"2015","true","true",194729,10826.672857483874,2025,"United States","01000US","united-states",0.0013578845532520492
2,"$10-20k",2015,"2015","true","true",401318,14568.953986933779,3631,"Washington","04000US53","washington",0.12255766028894581
2,"$10-20k",2015,"2015","true","true",20987738,103919.50250482502,185322,"United States","01000US","united-states",0.14635172592629273
21,"$200k+",2015,"2015","true","true",75434,6664.958775940786,784,"Washington","04000US53","washington",0.0230366306675413
21,"$200k+",2015,"2015","true","true",2981526,41949.98460315484,31850,"United States","01000US","united-states",0.02079078155035649
1,"< $10K",2015,"2015","true","true",18582269,98739.08153706872,178082,"United States","01000US","united-states",0.1295779059075659
7,"$60-70k",2014,"2014","true","true",219489,11101.519075734324,2240,"Washington","04000US53","washington",0.06845778251166881
15,"$140-150k",2014,"2014","true","true",711579,20657.90804227672,7320,"United States","01000US","united-states",0.005052787423044969
14,"$130-140k",2014,"2014","true","true",28991,4161.347087118416,280,"Washington","04000US53","washington",0.009042182400009981
2,"$10-20k",2014,"2014","true","true",418513,14810.028156454066,3694,"Washington","04000US53","washington",0.1305326095262453
8,"$70-80k",2014,"2014","true","true",6082701,59229.13199870175,60286,"United States","01000US","united-states",0.043192105319216925
19,"$180-190k",2014,"2014","true","true",340317,14305.110063391077,3574,"United States","01000US","united-states",0.0024165264256651685
8,"$70-80k",2014,"2014","true","true",155298,9437.924453428037,1572,"Washington","04000US53","washington",0.0484368542774223
15,"$140-150k",2014,"2014","true","true",19600,3426.6619586542674,213,"Washington","04000US53","washington",0.006113165294063524
10,"$90-100k",2014,"2014","true","true",3142806,43036.07891972179,31683,"United States","01000US","united-states",0.02231646890910253
3,"$20-30k",2014,"2014","true","true",20932980,103644.58657617042,189492,"United States","01000US","united-states",0.14864111795155827
3,"$20-30k",2014,"2014","true","true",457747,15379.290770122907,4075,"Washington","04000US53","washington",0.1427695445847804
1,"< $10K",2014,"2014","true","true",19175353,99922.42405994964,183307,"United States","01000US","united-states",0.13616054221786705
16,"$150-160k",2014,"2014","true","true",24799,3851.285743815083,254,"Washington","04000US53","washington",0.007734713577932721
9,"$80-90k",2014,"2014","true","true",132761,8758.444767531437,1315,"Washington","04000US53","washington",0.041407649877814666
16,"$150-160k",2014,"2014","true","true",997029,24427.883821909425,10147,"United States","01000US","united-states",0.0070797136953326375
20,"$190-200k",2014,"2014","true","true",179799,10403.775726741125,1857,"United States","01000US","united-states",0.0012767185735892464
13,"$120-130k",2014,"2014","true","true",1775893,32510.7850877314,17990,"United States","01000US","united-states",0.012610279132849058
17,"$160-170k",2014,"2014","true","true",14715,2971.364902478436,135,"Washington","04000US53","washington",0.004589552413374732
4,"$30-40k",2014,"2014","true","true",392446,14408.289389338634,3654,"Washington","04000US53","washington",0.12240241158132927
10,"$90-100k",2014,"2014","true","true",84933,7059.64946061544,906,"Washington","04000US53","washington",0.02649027897554578
7,"$60-70k",2014,"2014","true","true",8509041,69419.53461672257,83840,"United States","01000US","united-states",0.06042108514581514
4,"$30-40k",2014,"2014","true","true",18444902,98294.53729312767,173148,"United States","01000US","united-states",0.13097374830468156
18,"$170-180k",2014,"2014","true","true",10168,2471.739972421149,97,"Washington","04000US53","washington",0.0031713604443896893
11,"$100-110k",2014,"2014","true","true",3135463,42986.91998842155,31372,"United States","01000US","united-states",0.022264327659785983
21,"$200k+",2014,"2014","true","true",2762472,40403.7667366599,29211,"United States","01000US","united-states",0.019615789361566154
11,"$100-110k",2014,"2014","true","true",86379,7117.8424172989,865,"Washington","04000US53","washington",0.0269412808640772
5,"$40-50k",2014,"2014","true","true",334028,13430.001865867147,3165,"Washington","04000US53","washington",0.10418206004313524
19,"$180-190k",2014,"2014","true","true",7392,2108.4073369054695,82,"Washington","04000US53","washington",0.0023055366251896717
17,"$160-170k",2014,"2014","true","true",458890,16604.290689681544,4732,"United States","01000US","united-states",0.0032584907937995727
9,"$80-90k",2014,"2014","true","true",4560929,51576.56571786216,45526,"United States","01000US","united-states",0.03238629117582316
14,"$130-140k",2014,"2014","true","true",956819,23933.668955038676,9807,"United States","01000US","united-states",0.00679419011709236
12,"$110-120k",2014,"2014","true","true",46905,5278.1789331305845,482,"Washington","04000US53","washington",0.014629490720308653
20,"$190-200k",2014,"2014","true","true",4834,1705.69132384905,51,"Washington","04000US53","washington",0.0015077061750766875
6,"$50-60k",2014,"2014","true","true",11150671,78670.68195093497,109822,"United States","01000US","united-states",0.07917879840089755
6,"$50-60k",2014,"2014","true","true",249546,11777.550738751615,2530,"Washington","04000US53","washington",0.07783244624859062
5,"$40-50k",2014,"2014","true","true",14459569,88435.65564274589,139529,"United States","01000US","united-states",0.10267465507814441
18,"$170-180k",2014,"2014","true","true",374783,15010.184968759739,3909,"United States","01000US","united-states",0.0026612629501026066
21,"$200k+",2014,"2014","true","true",65487,6218.292124173629,655,"Washington","04000US53","washington",0.02042514569450704
13,"$120-130k",2014,"2014","true","true",55913,5754.5438755254645,554,"Washington","04000US53","washington",0.017439051586070092
2,"$10-20k",2014,"2014","true","true",21216573,104220.81863864564,188960,"United States","01000US","united-states",0.1506548580193
12,"$110-120k",2014,"2014","true","true",1460431,29515.602496674273,14771,"United States","01000US","united-states",0.010370243344765637
1,"< $10K",2014,"2014","true","true",396251,14468.17690854507,3706,"Washington","04000US53","washington",0.12358917657846762
