ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Nation,Nation,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,Geography,ID Geography,Slug Geography
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","413021","Insurance sales agents",2014,"2014","01000US","United States","true","true",9268,2360.1476042254626,74468.51478204575,20622.795220635955,87,"insurance-sales-agents","Washington","04000US53","washington"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","413011","Advertising sales agents",2014,"2014","01000US","United States","true","true",2759,1289.0319102855626,80001.40050743023,26824.150952499964,26,"advertising-sales-agents","Washington","04000US53","washington"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","412031","Retail salespersons",2014,"2014","01000US","United States","true","true",80998,6898.515421230586,27710.39703449468,3072.2770063956605,741,"retail-salespersons","Washington","04000US53","washington"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","515111","Prepress technicians & workers",2014,"2014","01000US","United States","true","true",468,531.0873859342281,42524.50854700855,27721.216655889046,6,"prepress-technicians-workers","Washington","04000US53","washington"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","515112","Printing press operators",2014,"2014","01000US","United States","true","true",4251,1599.6766696716777,34100.94448365091,4873.870129032817,34,"printing-press-operators","Washington","04000US53","washington"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","412022","Parts salespersons",2014,"2014","01000US","United States","true","true",3400,1430.816111547953,30574.201470588236,8006.946465630006,30,"parts-salespersons","Washington","04000US53","washington"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","412021","Counter & rental clerks",2014,"2014","01000US","United States","true","true",1179,842.8529203271115,22543.012722646312,9029.858052486285,10,"counter-rental-clerks","Washington","04000US53","washington"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","412010","Cashiers",2014,"2014","01000US","United States","true","true",60430,5978.183307648717,15277.720238292239,2003.957615698381,512,"cashiers","Washington","04000US53","washington"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","411012","Firstline supervisors of nonretail sales workers",2014,"2014","01000US","United States","true","true",24542,3831.432462294913,89161.3504196887,13836.018178761322,214,"firstline-supervisors-of-nonretail-sales-workers","Washington","04000US53","washington"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","411011","Firstline supervisors of retail sales workers",2014,"2014","01000US","United States","true","true",65501,6218.942910071499,53507.63081479672,4745.9122697161165,606,"firstline-supervisors-of-retail-sales-workers","Washington","04000US53","washington"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","516011","Laundry & drycleaning workers",2014,"2014","01000US","United States","true","true",2435,1211.0421601462695,22573.066119096507,9290.679516777227,18,"laundry-drycleaning-workers","Washington","04000US53","washington"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","399099","Personal care & service workers, all other ",2014,"2014","01000US","United States","true","true",2138,1134.837712310164,15622.381665107578,7569.642701610161,18,"personal-care-service-workers-all-other-","Washington","04000US53","washington"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","399041","Residential advisors",2014,"2014","01000US","United States","true","true",1096,812.6542178808589,20321.05109489051,11326.484889979596,17,"residential-advisors","Washington","04000US53","washington"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","399030","Recreation & fitness workers",2014,"2014","01000US","United States","true","true",9006,2326.6439025900936,22515.80057739285,4469.856320747491,91,"recreation-fitness-workers","Washington","04000US53","washington"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","399021","Personal care aides (Legacy)",2014,"2014","01000US","United States","true","true",39987,4878.754048429532,20080.892940205566,2825.578036032606,393,"personal-care-aides","Washington","04000US53","washington"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","516021","Pressers, textile, garment, & related materials",2014,"2014","01000US","United States","true","true",901,736.8449699535585,31793.92785793563,13747.023196173568,8,"pressers-textile-garment-related-materials","Washington","04000US53","washington"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","516031","Sewing machine operators",2014,"2014","01000US","United States","true","true",1899,1069.5684620719628,19506.358609794628,10897.964485043725,13,"sewing-machine-operators","Washington","04000US53","washington"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","399011","Childcare workers",2014,"2014","01000US","United States","true","true",19684,3433.951694077274,12828.172322698638,1887.3358560596869,185,"childcare-workers","Washington","04000US53","washington"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","397010","Tour & travel guides",2014,"2014","01000US","United States","true","true",541,571.0008405824502,16270.500924214417,18407.430311370572,9,"tour-travel-guides","Washington","04000US53","washington"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","396010","Baggage porters, bellhops, & concierges",2014,"2014","01000US","United States","true","true",2157,1139.8657226999626,22056.177097821048,4064.5214222695913,21,"baggage-porters-bellhops-concierges","Washington","04000US53","washington"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","395090","Miscellaneous personal appearance workers",2014,"2014","01000US","United States","true","true",5145,1759.6192759036257,20415.5638483965,4367.246221133643,47,"miscellaneous-personal-appearance-workers","Washington","04000US53","washington"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","516050","Tailors, dressmakers, & sewers",2014,"2014","01000US","United States","true","true",885,730.2750228203953,24641.805649717513,16455.18196601953,7,"tailors-dressmakers-sewers","Washington","04000US53","washington"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","395012","Hairdressers, hairstylists, & cosmetologists",2014,"2014","01000US","United States","true","true",12960,2789.3160996942993,20802.20223765432,3618.655875386506,100,"hairdressers-hairstylists-cosmetologists","Washington","04000US53","washington"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","395011","Barbers",2014,"2014","01000US","United States","true","true",847,714.4290264261911,21426.948051948053,11178.690244540172,5,"barbers","Washington","04000US53","washington"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","393090","Miscellaneous entertainment attendants & related workers",2014,"2014","01000US","United States","true","true",4279,1604.929289195457,12393.390511801823,4750.685868880426,39,"miscellaneous-entertainment-attendants-related-workers","Washington","04000US53","washington"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","393031","Ushers, lobby attendants, & ticket takers",2014,"2014","01000US","United States","true","true",426,506.6997667881452,9395.941314553991,7353.111028800405,6,"ushers-lobby-attendants-ticket-takers","Washington","04000US53","washington"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","393010","Gaming services workers",2014,"2014","01000US","United States","true","true",3603,1472.8642831100997,24747.931168470717,6953.107154886616,30,"gaming-services-workers","Washington","04000US53","washington"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","392021","Nonfarm animal caretakers",2014,"2014","01000US","United States","true","true",3970,1545.9696639638996,20042.5919395466,6362.350141530006,36,"nonfarm-animal-caretakers","Washington","04000US53","washington"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","392011","Animal trainers",2014,"2014","01000US","United States","true","true",1405,920.0633746708456,26434.086832740213,21002.696633867166,15,"animal-trainers","Washington","04000US53","washington"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","517011","Cabinetmakers & bench carpenters",2014,"2014","01000US","United States","true","true",1683,1006.9381642614695,41249.555555555555,14459.016156998045,15,"cabinetmakers-bench-carpenters","Washington","04000US53","washington"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","391021","Firstline supervisors of personal service workers",2014,"2014","01000US","United States","true","true",2423,1208.0566495485793,35029.056128765995,7599.317531040323,17,"firstline-supervisors-of-personal-service-workers","Washington","04000US53","washington"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","391010","Firstline supervisors of gaming workers",2014,"2014","01000US","United States","true","true",681,640.622499138405,36288.93979441997,7084.566253420388,12,"firstline-supervisors-of-gaming-workers","Washington","04000US53","washington"
"310000-390000","Service Occupations","370000","Building & Grounds Cleaning & Maintenance Occupations","370000","Building & Grounds Cleaning & Maintenance Occupations","373010","Grounds maintenance workers",2014,"2014","01000US","United States","true","true",22412,3662.6197170313467,22558.82433517758,2682.7439641598257,185,"grounds-maintenance-workers","Washington","04000US53","washington"
"310000-390000","Service Occupations","370000","Building & Grounds Cleaning & Maintenance Occupations","370000","Building & Grounds Cleaning & Maintenance Occupations","372021","Pest control workers",2014,"2014","01000US","United States","true","true",909,740.1080488989305,30513.897689768975,11642.477465478722,7,"pest-control-workers","Washington","04000US53","washington"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","517041","Sawing machine setters, operators, & tenders, wood",2014,"2014","01000US","United States","true","true",789,689.5405592335106,31356.523447401774,7268.562253084481,8,"sawing-machine-setters-operators-tenders-wood","Washington","04000US53","washington"
"310000-390000","Service Occupations","370000","Building & Grounds Cleaning & Maintenance Occupations","370000","Building & Grounds Cleaning & Maintenance Occupations","37201X","Janitors & building cleaners",2014,"2014","01000US","United States","true","true",52362,5571.9505322437935,24229.190290668805,2998.656703521496,475,"janitors-building-cleaners","Washington","04000US53","washington"
"310000-390000","Service Occupations","370000","Building & Grounds Cleaning & Maintenance Occupations","370000","Building & Grounds Cleaning & Maintenance Occupations","372012","Maids & housekeeping cleaners",2014,"2014","01000US","United States","true","true",19369,3406.5327443754227,17098.49987092777,2214.8057629707,156,"maids-housekeeping-cleaners","Washington","04000US53","washington"
